4974018502234004;130,00;FactureCarteBleue;12/12/2024 16:34:39;USD
4974018502230440;5000,00;DepotGuichet;12/12/2024 16:34:39;DZD
4974018502232222;70,00;DepotGuichet;12/12/2024 16:34:39;GBP
4974018502233311;30,00;FactureCarteBleue;12/12/2024 16:34:39;JPY
4974018502234004;100,00;FactureCarteBleue;12/12/2024 16:34:39;USD
4974018502230440;100,00;Retrait;12/12/2024 16:34:39;DZD
4974018502232222;70,00;FactureCarteBleue;12/12/2024 16:34:39;GBP
4974018502233311;30,00;DepotGuichet;12/12/2024 16:34:39;JPY
4974018502234004;130,00;FactureCarteBleue;12/12/2024 16:34:39;USD
4974018502230440;5000,00;DepotGuichet;12/12/2024 16:34:39;DZD
4974018502232222;70,00;DepotGuichet;12/12/2024 16:34:39;GBP
4974018502233311;30,00;FactureCarteBleue;12/12/2024 16:34:39;JPY
4974018502233351;30,00;FactureCarteBleue;12/12/2024 16:34:39;JPY
49740185022340048;130,00;FactureCarteBleue;12/12/2024 16:34:39;USD
497401850223222a;70,00;FactureCarteBleue;12/12/2024 16:34:39;GBP









